product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
Jamón de Trevélez,120 g,Antonio Álvarez,"Productos a base de carne, Carnes, Embutidos, Jamón, Jamón de país, Jamones secos, Productos cárnicos españoles, Jamón Serrano, Jamón de Trevélez, en:Carnes  Embutidos  Jamón",100g,100g,268.0,kcal,15.0,g,5.5,g,0.0,g,0.0,g,33.0,g,0.0,mg,0.0,mg,1120.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:3-processed-foods,c,"Carne, Aves y Productos Cárnicos"
Leche entera de vaca,"1,5 l",Central Lechera Asturiana,"Dairies, Milks, Homogenized milks, UHT Milks, Whole milks",100g,100g,63.0,kcal,3.6,g,2.4,g,4.6,g,4.6,g,3.1,g,,,,,63.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",unknown,unknown,Lácteos y Derivados
Espetec,180 g,Casa Tarradellas,"Productos a base de carne, Embutidos, Salchichas, Salchicha francesa, Embutidos de España, Fuet",100g,100g,421.0,kcal,34.0,g,13.3,g,1.4,g,1.4,g,27.5,g,3.8,g,1.52,g,1749.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,e,"Carne, Aves y Productos Cárnicos"
Tomate frito sin azúcares añadidos,560 g,Hacendado,"Condimentos, Salsas, en:Meal sauces, Salsas de tomate, Salsas de tomate frito, en:groceries",100g,100g,65.0,kcal,3.5,g,0.3,g,6.5,g,4.7,g,1.5,g,1.18,g,0.472,g,65.0,kcal,en:dressings-and-sauces,"en:fats-and-sauces,en:dressings-and-sauces",en:4-ultra-processed-food-and-drink-products,c,"Salsas, Condimentos y Aditivos"
Leche entera,1 l,Hacendado,"Lácteos, Leches, Leche entera, Leche de vaca",100g,100g,63.0,kcal,3.6,g,2.4,g,4.6,g,4.6,g,3.1,g,0.1275,g,0.051,g,63.0,kcal,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:1-unprocessed-or-minimally-processed-foods,c,Lácteos y Derivados
Queso en lonchas de vaca,300 g,Entrepinares,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos, Quesos de vaca",100g,100g,364.0,kcal,31.0,g,22.0,g,0.5,g,0.5,g,21.0,g,1.2,g,0.48,g,1509.0,kJ,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,d,Lácteos y Derivados
Lentejas a la Jardinera,420 g (neto),Hacendado,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Leguminosas y derivados, Conservas, Leguminosas, Comidas preparadas, Semillas, Granos de leguminosas, Legumbres secas, Sopas, Lentejas, Comidas preparadas en conserva, Comidas preparadas de origen vegetal",serving,100g,65.0,kcal,1.3,g,0.4,g,7.9,g,0.5,g,4.2,g,0.0,mg,0.0,mg,65.0,kcal,en:one-dish-meals,"en:composite-foods,en:one-dish-meals",en:4-ultra-processed-food-and-drink-products,b,"Frutas, Verduras y Legumbres"
Garbanzos cocidos categoría extra,"540 g neto, 400 g escurrido",Campo Largo,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Leguminosas y derivados, Conservas, Leguminosas, Semillas, Alimentos de origen vegetal en conserva, Granos de leguminosas, Legumbres secas, Garbanzos, Leguminosas en conserva, Garbanzos cocidos en conserva",100g,100g,99.0,kcal,1.7,g,0.2,g,13.2,g,0.4,g,5.6,g,0.53,g,0.212,g,417.0,kJ,en:legumes,"en:cereals-and-potatoes,en:legumes",en:4-ultra-processed-food-and-drink-products,a,"Frutas, Verduras y Legumbres"
Puleva omega 3,1 l,Puleva,"Lácteos, Leches",100g,100g,52.0,kcal,2.3,g,0.5,g,5.0,g,5.0,g,2.9,g,0.015,g,0.006,g,219.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,b,Lácteos y Derivados
Mermelada de melocotón de temporada de Murcia,350 g,Hero,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Frutas y verduras y sus productos, Desayunos, Untables, Frutas y sus productos, Untables vegetales, Untables dulces, Preparaciones a base de frutas y verduras, Confitura, Mermeladas y confituras de melocotón",100g,serving,205.0,kcal,0.1,g,0.0,g,50.0,g,47.0,g,0.3,g,0.0,g,0.0,g,868.0,kJ,en:sweets,"en:sugary-snacks,en:sweets",en:4-ultra-processed-food-and-drink-products,d,"Snacks, Dulces y Postres"
