,product_name_es,quantity,brands,categories,nutrition_data_per,nutrition_data_prepared_per,energy-kcal_value,energy-kcal_unit,fat_value,fat_unit,saturated-fat_value,saturated-fat_unit,carbohydrates_value,carbohydrates_unit,sugars_value,sugars_unit,proteins_value,proteins_unit,salt_value,salt_unit,sodium_value,sodium_unit,energy_value,energy_unit,off:food_groups,off:food_groups_tags,off:nova_groups_tags,off:nutriscore_grade,Categoria
2454,Aceitunas rellenas de anchoa,2 x 120 g,El Faro,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Encurtidos, Productos del olivo, Vegetales encurtidos, Aceitunas, Aceitunas verdes, Aceitunas rellenas, Aceitunas verdes rellenas, Aceitunas verdes rellenas de anchoa, Aceitunas rellenas de anchoas",100g,100g,156.0,kcal,16.0,g,3.5,g,0.5,g,0.0,g,1.3,g,2.7,g,1.08,g,156.0,kcal,en:salty-and-fatty-products,"en:salty-snacks,en:salty-and-fatty-products",unknown,d,"Frutas, Verduras y Legumbres"
2456,Samba cocktail,500g,Snack Day,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Botanas, Snacks salados, Frutos de cáscara y derivados, Frutos de cáscara",100g,100g,491.0,kcal,25.7,g,3.3,g,47.0,g,5.8,g,14.6,g,1.37,g,0.548,g,1982.0,kJ,en:nuts,"en:salty-snacks,en:nuts",en:4-ultra-processed-food-and-drink-products,d,"Frutas, Verduras y Legumbres"
2457,Copos de avena integral suaves ecológicos,1 kg,alipende,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Desayunos, Cereales y patatas, Cereales y derivados, Alimentos infantiles, Cereales para el desayuno, Copos, Copos de cereales, en:Rolled flakes, Copos de avena, De 24 meses",100g,100g,346.0,kcal,5.6999998092651,g,1.0,g,57.599998474121,g,1.0,g,10.89999961853,g,0.535,,,,346.0,kcal,en:breakfast-cereals,"en:cereals-and-potatoes,en:breakfast-cereals",unknown,d,"Cereales, Panadería y Pasta"
2458,Pastoreo. Yogur sabor fresa,1000 g (8×125 g),Larsa,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Postres, Postres lácteos, en:Fermented dairy desserts, Yogures, en:Flavoured fermented dairy desserts, Yogures de sabores",100g,100g,81.0,kcal,2.3,g,1.6,g,11.4,g,11.4,g,3.7,g,0.1,g,0.04,g,342.0,kJ,en:milk-and-yogurt,"en:milk-and-dairy-products,en:milk-and-yogurt",en:4-ultra-processed-food-and-drink-products,c,Lácteos y Derivados
2459,Queso tierno,450 g,RECORD,"Lácteos, Comidas fermentadas, Productos fermentados de la leche, Quesos",100g,100g,351.0,kcal,29.0,g,19.0,g,3.0,g,1.0,g,23.0,g,1.32,g,0.528,g,1475.0,kJ,en:cheese,"en:milk-and-dairy-products,en:cheese",en:3-processed-foods,d,Lácteos y Derivados
2460,Pan de leche con pepitas de chocolate,270g,El Corte Inglés,"Botanas, Snacks dulces, Galletas y pasteles, en:Sweet pastries and pies, Pasteles, Viennoiseries, Panes de leche",100g,100g,365.0,kcal,14.0,g,3.5,g,49.0,g,20.0,g,9.7,g,0.8,g,0.32,g,1532.0,kJ,en:pastries,"en:sugary-snacks,en:pastries",en:4-ultra-processed-food-and-drink-products,d,"Cereales, Panadería y Pasta"
2461,Nug-get's party,180 g,the vegetarian butcher,"en:Meat alternatives, Carnes vegetales, Empanados, Nuggets vegetarianos",100g,100g,191.0,kcal,7.9,g,0.8,g,17.0,g,0.5,g,10.0,g,1.6,g,0.64,g,191.0,kcal,,,en:4-ultra-processed-food-and-drink-products,b,"Frutas, Verduras y Legumbres"
2462,Longaniza fresca,10,Productos cárnicos Valarcon,"Productos a base de carne, Carnes, Embutidos, Salchichas, Embutidos de España",100g,100g,167.0,kcal,10.6,g,5.0,g,2.0,g,0.7,g,16.0,g,2.2,g,0.88,g,698.0,kJ,en:processed-meat,"en:fish-meat-eggs,en:processed-meat",en:4-ultra-processed-food-and-drink-products,d,"Carne, Aves y Productos Cárnicos"
2463,KERUAK CACAO,50g,The Food Beat,"Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Botanas, Snacks dulces, Frutos de cáscara y derivados, Barritas, Suplementos dietéticos, Suplementos de culturismo, Barritas de frutos de cáscara, Barritas energéticas",100g,100g,449.0,kcal,25.0,g,2.4,g,40.0,g,37.0,g,11.0,g,0.03,g,0.012,g,449.0,kcal,en:biscuits-and-cakes,"en:sugary-snacks,en:biscuits-and-cakes",en:3-processed-foods,a,"Frutas, Verduras y Legumbres"
2464,Lomo curado en lonchas,,Goikoa,,100g,100g,229.0,kcal,7.5,g,1.5,g,1.0,g,1.0,g,3.0,g,3.6,g,1.44,g,229.0,kcal,,,unknown,e,"Carne, Aves y Productos Cárnicos"
